sentence,labels
In,O
case,O
of,O
a,O
fire,O
or,O
other,O
emergency,O
",",O
ensure,O
that,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
is,O
activated,O
immediately,O
to,O
alert,O
everyone,O
in,O
the,O
building,O
.,O
sep,sep
Maintenance,O
staff,O
should,O
inspect,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
regularly,O
to,O
ensure,O
it,O
is,O
functioning,O
properly,O
and,O
can,O
be,O
heard,O
clearly,O
throughout,O
the,O
premises,O
.,O
sep,sep
During,O
a,O
fire,O
drill,O
",",O
the,O
sound,O
of,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
will,O
signal,O
the,O
start,O
of,O
the,O
evacuation,O
process,O
",",O
so,O
listen,O
carefully,O
for,O
its,O
activation,O
.,O
sep,sep
If,O
you,O
notice,O
any,O
issues,O
with,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
",",O
such,O
as,O
a,O
weak,O
sound,O
or,O
delayed,O
activation,O
",",O
report,O
it,O
to,O
the,O
facilities,O
management,O
team,O
right,O
away,O
.,O
sep,sep
Instructions,O
for,O
operating,O
the,O
fire,O
alarm,O
system,O
",",O
including,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
",",O
are,O
displayed,O
near,O
each,O
emergency,O
control,O
panel,O
for,O
quick,O
reference,O
.,O
sep,sep
The,O
Alarm,B-TOOL
Bell,I-TOOL
is,O
a,O
crucial,O
part,O
of,O
the,O
fire,O
safety,O
system,O
",",O
designed,O
to,O
alert,O
everyone,O
within,O
seconds,O
of,O
an,O
emergency,O
being,O
detected,O
.,O
sep,sep
Before,O
the,O
building,O
opens,O
each,O
morning,O
",",O
security,O
personnel,O
should,O
test,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
as,O
part,O
of,O
their,O
routine,O
safety,O
checks,O
.,O
sep,sep
In,O
the,O
event,O
of,O
an,O
emergency,O
",",O
press,O
the,O
manual,O
alarm,O
button,O
to,O
activate,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
and,O
notify,O
everyone,O
to,O
evacuate,O
immediately,O
.,O
sep,sep
Training,O
sessions,O
for,O
new,O
employees,O
will,O
include,O
a,O
demonstration,O
of,O
how,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
integrates,O
with,O
the,O
overall,O
fire,O
safety,O
system,O
.,O
sep,sep
The,O
loud,O
and,O
consistent,O
sound,O
of,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
is,O
engineered,O
to,O
be,O
unmistakable,O
",",O
ensuring,O
that,O
no,O
one,O
misses,O
the,O
emergency,O
alert,O
.,O
sep,sep
Facility,O
managers,O
are,O
required,O
to,O
log,O
every,O
test,O
of,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
in,O
the,O
maintenance,O
record,O
to,O
comply,O
with,O
safety,O
regulations,O
.,O
sep,sep
When,O
conducting,O
safety,O
inspections,O
",",O
check,O
the,O
wiring,O
and,O
power,O
supply,O
connected,O
to,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
to,O
prevent,O
potential,O
malfunctions,O
.,O
sep,sep
A,O
clearly,O
visible,O
sign,O
next,O
to,O
each,O
Alarm,B-TOOL
Bell,I-TOOL
ensures,O
that,O
building,O
occupants,O
can,O
quickly,O
locate,O
and,O
activate,O
it,O
during,O
an,O
emergency,O
.,O
sep,sep
Fire,O
marshals,O
rely,O
on,O
the,O
immediate,O
activation,O
of,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
to,O
begin,O
coordinating,O
evacuation,O
and,O
rescue,O
efforts,O
without,O
delay,O
.,O
sep,sep
Make,O
sure,O
the,O
sound,O
of,O
the,O
Alarm,B-TOOL
Bell,I-TOOL
can,O
be,O
heard,O
in,O
all,O
high,O
-,O
noise,O
areas,O
",",O
such,O
as,O
mechanical,O
rooms,O
or,O
factory,O
floors,O
",",O
to,O
maintain,O
compliance,O
.,O
sep,sep
In,O
the,O
event,O
of,O
a,O
fire,O
",",O
press,O
the,O
Alarm,B-TOOL
Button,I-TOOL
immediately,O
to,O
activate,O
the,O
building,O
',O
s,O
fire,O
alarm,O
system,O
and,O
alert,O
all,O
occupants,O
.,O
sep,sep
It,O
is,O
essential,O
that,O
the,O
Alarm,B-TOOL
Button,I-TOOL
is,O
kept,O
unobstructed,O
at,O
all,O
times,O
to,O
ensure,O
quick,O
access,O
during,O
an,O
emergency,O
.,O
sep,sep
During,O
routine,O
fire,O
drills,O
",",O
employees,O
will,O
be,O
trained,O
on,O
how,O
and,O
when,O
to,O
use,O
the,O
Alarm,B-TOOL
Button,I-TOOL
as,O
part,O
of,O
the,O
safety,O
protocol,O
.,O
sep,sep
Maintenance,O
staff,O
should,O
inspect,O
the,O
Alarm,B-TOOL
Button,I-TOOL
regularly,O
to,O
verify,O
that,O
it,O
is,O
functioning,O
correctly,O
and,O
responding,O
promptly,O
.,O
sep,sep
Clear,O
signage,O
is,O
required,O
above,O
every,O
Alarm,B-TOOL
Button,I-TOOL
to,O
ensure,O
that,O
everyone,O
